2009-02-22_總統主持二二八基金會及中正紀念堂相關事宜會議
, 不同, 的, , 0.0068212824010914054
, 的, 時候, , 0.0068212824010914054
, 處理, 的, , 0.005457025920873124
, 這些, 問題, , 0.005457025920873124
, 中正, 紀念堂, , 0.004092769440654843
, 中正, 紀念堂, 及, 0.002728512960436562
, 及, 二二八, 基金會, 0.002728512960436562
, 同情, 與, 理解, 0.002728512960436562
, 在, 處理, 的, 0.002728512960436562
, 就, 中正, 紀念堂, 0.002728512960436562

2009-02-24_總統參加228新紀二年福臨春元團拜茶會
, 二二八, 事件, , 0.01982651796778191
, 事件, 的, , 0.007434944237918215
, 總統, 也, , 0.007434944237918215
, 歷史, 的, , 0.006195786864931847
, 的, 態度, , 0.006195786864931847
, 二二八, 事件, 的, 0.006195786864931847
, 228, 事件, 紀念, 0.0037174721189591076
, 事件, 國家, 紀念館, 0.0037174721189591076
, 事件, 紀念, 基金會, 0.0037174721189591076
, 二二八, 事件, 國家, 0.0037174721189591076

2009-02-25_總統參觀「簡吉與日據台灣農民運動特展」
, 簡吉, 先生, , 0.020224719101123594
, 他, 擔任, , 0.006741573033707865
, 站, 在, , 0.006741573033707865
, 今天, 我們, , 0.0044943820224719105
, 先生, 的, , 0.0044943820224719105
, 站, 在, 一起, 0.0044943820224719105
, 簡吉, 先生, 的, 0.0044943820224719105
, 認錯, 與, 道歉, 0.0044943820224719105
, 說, 簡吉, 先生, 0.0044943820224719105
, 農民, 站, 在, 0.0044943820224719105

2009-02-26_總統出席「傾聽與再生」台北二二八紀念館常設展更新預展開幕儀式
, 二二八, 事件, , 0.019178082191780823
, 二二八, 紀念館, , 0.0136986301369863
, 紀念館, 的, , 0.010958904109589041
, 台北, 二二八, , 0.00821917808219178
, 的, 功能, , 0.00821917808219178
, 台北, 二二八, 紀念館, 0.00821917808219178
, 二二八, 紀念館, 的, 0.005479452054794521
, 仇怨, 將心比心, 的, 0.005479452054794521
, 化解, 仇怨, 將心比心, 0.005479452054794521
